id,conditionId,slug,url,embedSrc,question,category,why,volume,volume24h,momentumDelta24h,momentumPct24h,endDateISO,timeToResolveDays,outcomeCount,avgSpread,underround,binaryMidYes,near50Flag,bestQuotesJSON,bucket,rank
1919417,0xbbc6689d0f6d57ea42168836712237c7308b3e0118c8914d31b6126d0f3254c5,us-x-iran-permanent-peace-deal-by-april-22-2026,https://polymarket.com/event/us-x-iran-permanent-peace-deal-by-april-22-2026,https://embed.polymarket.com/market.html?market=us-x-iran-permanent-peace-deal-by-april-22-2026&features=volume&theme=light,"US x Iran permanent peace deal by April 22, 2026?",,"24h $5,324,148 • spread 0.010 • TTR 0.7d",18662620.416414034,5324148.16,0.01,6.8966,2026-04-22T00:00:00+00:00,0.664,1,0.01,-0.83,0.165,0,"[{""name"": ""Top"", ""bestBid"": 0.16, ""bestAsk"": 0.17}]",HOT,1
669663,0xd4d00e5bf8b960cc37c74c1ec19e41e00b0706add203ddcfbb65ad006c5c223a,will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,https://polymarket.com/event/will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,https://embed.polymarket.com/market.html?market=will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting&features=volume&theme=light,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,,"24h $3,128,102 • spread 0.001 • TTR 7.7d",29788896.1363902,3128102.95,0.0,0.0,2026-04-29T00:00:00+00:00,7.664,1,0.001,-0.997,0.0025,0,"[{""name"": ""Top"", ""bestBid"": 0.002, ""bestAsk"": 0.003}]",HOT,2
558943,0xcdb1f0400949238a63d3e88243d2ada08cd9c2a71985ced9f0cfd5e66354cf90,will-usa-win-the-2026-fifa-world-cup-467,https://polymarket.com/event/will-usa-win-the-2026-fifa-world-cup-467,https://embed.polymarket.com/market.html?market=will-usa-win-the-2026-fifa-world-cup-467&features=volume&theme=light,Will USA win the 2026 FIFA World Cup?,,"24h $2,122,710 • spread 0.001 • TTR 89.7d",16542510.981757859,2122710.74,0.001,8.6957,2026-07-20T00:00:00+00:00,89.664,1,0.001,-0.987,0.0125,0,"[{""name"": ""Top"", ""bestBid"": 0.012, ""bestAsk"": 0.013}]",HOT,3
1919421,0xceb6dfaa2cf5abc9d47ebc867b984a7715104944249274e8a483a2e17473e5f5,us-x-iran-permanent-peace-deal-by-april-30-2026,https://polymarket.com/event/us-x-iran-permanent-peace-deal-by-april-30-2026,https://embed.polymarket.com/market.html?market=us-x-iran-permanent-peace-deal-by-april-30-2026&features=volume&theme=light,"US x Iran permanent peace deal by April 30, 2026?",,"24h $1,328,216 • spread 0.010 • TTR 8.7d",6189592.036902883,1328216.72,0.01,2.6667,2026-04-30T00:00:00+00:00,8.664,1,0.01,-0.61,0.385,0,"[{""name"": ""Top"", ""bestBid"": 0.38, ""bestAsk"": 0.39}]",HOT,4
1540766,0x924a2942747dd75703321a7c8d809c68f6a514c3b0f2a2e64274e02310634669,strait-of-hormuz-traffic-returns-to-normal-by-april-30,https://polymarket.com/event/strait-of-hormuz-traffic-returns-to-normal-by-april-30,https://embed.polymarket.com/market.html?market=strait-of-hormuz-traffic-returns-to-normal-by-april-30&features=volume&theme=light,Strait of Hormuz traffic returns to normal by end of April?,,"24h $1,285,873 • spread 0.010 • TTR 8.7d",19914418.110403746,1285873.11,0.06,23.5294,2026-04-30T00:00:00+00:00,8.664,1,0.01,-0.67,0.325,0,"[{""name"": ""Top"", ""bestBid"": 0.32, ""bestAsk"": 0.33}]",HOT,5
1918792,0x1507c50c86fb307e4f1acd9d740b2be66d98773f90d161e94907d8ef2c5699b3,trump-announces-end-of-military-operations-against-iran-by-april-21st,https://polymarket.com/event/trump-announces-end-of-military-operations-against-iran-by-april-21st,https://embed.polymarket.com/market.html?market=trump-announces-end-of-military-operations-against-iran-by-april-21st&features=volume&theme=light,Trump announces end of military operations against Iran by April 21st?,,"24h $1,135,814 • spread 0.020 • TTR 0.7d",3609420.599864005,1135814.27,-0.02,-26.6667,2026-04-21T23:55:00+00:00,0.661,1,0.02,-0.93,0.06,0,"[{""name"": ""Top"", ""bestBid"": 0.05, ""bestAsk"": 0.07}]",HOT,6
1611267,0xa78ecba9c4273564cce4b810db46bb36cc35db9cd52fc4e067c77f85af1c1048,kharg-island-no-longer-under-iranian-control-by-april-30-912,https://polymarket.com/event/kharg-island-no-longer-under-iranian-control-by-april-30-912,https://embed.polymarket.com/market.html?market=kharg-island-no-longer-under-iranian-control-by-april-30-912&features=volume&theme=light,Kharg Island no longer under Iranian control by April 30?,,"24h $1,122,077 • spread 0.001 • TTR 9.7d",12109681.980094898,1122077.75,0.0185,31.3559,2026-04-30T23:55:00+00:00,9.661,1,0.001,-0.922,0.0775,0,"[{""name"": ""Top"", ""bestBid"": 0.077, ""bestAsk"": 0.078}]",HOT,7
669660,0xd72622d154dfe65b9c019d6afcfe75a55717e5c502db611f555b101aafbf6ec5,will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,https://polymarket.com/event/will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,https://embed.polymarket.com/market.html?market=will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting&features=volume&theme=light,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,,"24h $840,647 • spread 0.001 • TTR 7.7d",43891666.70400031,840647.3,0.0,0.0,2026-04-29T00:00:00+00:00,7.664,1,0.001,-0.998,0.0015,0,"[{""name"": ""Top"", ""bestBid"": 0.001, ""bestAsk"": 0.002}]",HOT,8
669662,0x36e8ca24d2a13435f519f15580d42b45cdbe3bc425fb39a7c2733260357af0fa,will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,https://polymarket.com/event/will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,https://embed.polymarket.com/market.html?market=will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting&features=volume&theme=light,Will there be no change in Fed interest rates after the April 2026 meeting?,,"24h $768,358 • spread 0.001 • TTR 7.7d",24047825.978036035,768358.94,0.0,0.0,2026-04-29T00:00:00+00:00,7.664,1,0.001,-0.006,0.9935,0,"[{""name"": ""Top"", ""bestBid"": 0.993, ""bestAsk"": 0.994}]",HOT,9
1507751,0xe443dab97ad8b7f58558cc7a6a3932d156031e962a451e0461e9a4578d78fe84,will-the-iranian-regime-fall-by-april-30,https://polymarket.com/event/will-the-iranian-regime-fall-by-april-30,https://embed.polymarket.com/market.html?market=will-the-iranian-regime-fall-by-april-30&features=volume&theme=light,Will the Iranian regime fall by April 30?,,"24h $713,304 • spread 0.001 • TTR 8.7d",37098656.85662218,713304.57,-0.001,-8.0,2026-04-30T00:00:00+00:00,8.664,1,0.001,-0.989,0.0105,0,"[{""name"": ""Top"", ""bestBid"": 0.01, ""bestAsk"": 0.011}]",HOT,10
